FIELD,ID,RA,DEC,r_petro,zb,zb_Min,zb_Max,PROB_GAL_new,SPIRAL,ELLIPTICAL,UNCERTAIN,simple_class
STRIPE82-0001,SPLUS.STRIPE82-0001.03217.griz,359.9707,-1.2178,16.5,0.1118,0.083,0.139,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.03462.griz,0.1286,-1.213,15.8,0.067,0.061,0.07200000000000001,1.0,0,0,1,SB
STRIPE82-0001,SPLUS.STRIPE82-0001.03521.griz,0.0559,-1.2136,16.34,0.08,0.07400000000000001,0.079,1.0,1,0,0,SB
STRIPE82-0001,SPLUS.STRIPE82-0001.03897.griz,0.2156,-1.1983,16.77,0.207,0.194,0.221,1.0,0,1,0,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.04092.griz,0.1664,-1.1912,16.88,0.155,0.081,0.158,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.04209.griz,359.5937,-1.1828,16.72,0.058,0.047,0.063,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.04261.griz,359.7408,-1.1574,16.05,0.08199999999999999,0.076,0.085,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.04390.griz,0.2207,-1.1724,16.93,0.193,0.187,0.21600000000000005,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.04450.griz,359.9227,-1.1673,16.26,0.075,0.071,0.08,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.04690.griz,359.6376,-1.1449,15.88,0.064,0.058,0.067,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.04801.griz,359.3643,-1.1314,14.72,0.028,0.026,0.031,0.99,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.05080.griz,359.6428,-1.1289,15.66,0.07,0.065,0.073,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.05263.griz,359.7357,-1.1286,16.93,0.069,0.037000000000000005,0.113,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.05556.griz,0.2229,-1.1152,16.11,0.09,0.085,0.095,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.06100.griz,359.5175,-1.0691,16.16,0.08900000000000001,0.08,0.093,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.06137.griz,0.5112,-1.0858,16.52,0.115,0.073,0.195,1.0,1,0,0,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.06710.griz,359.4851,-1.0581,16.26,0.112,0.105,0.128,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.07274.griz,359.541,-1.0318,16.65,0.058,0.042,0.061,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.08015.griz,0.6892,-0.9934,16.53,0.087,0.083,0.125,1.0,1,0,0,S
STRIPE82-0001,SPLUS.STRIPE82-0001.08226.griz,359.5261,-0.9873,16.36,0.037000000000000005,0.033,0.067,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.08662.griz,359.6077,-0.9655,15.67,0.067,0.062,0.07,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.09418.griz,359.6946,-0.9269,16.25,0.034,0.032,0.038,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.09777.griz,0.5156,-0.907,16.58,0.135,0.122,0.14,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.10167.griz,359.5367,-0.8867,16.51,0.11,0.103,0.119,0.99,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.10635.griz,0.3489,-0.8519,16.1,0.08199999999999999,0.078,0.085,1.0,0,0,1,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.11896.griz,359.3537,-0.7949,16.95,0.091,0.077,0.104,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.12213.griz,359.5203,-0.7813,16.42,0.037000000000000005,0.033,0.04,1.0,0,0,1,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.12430.griz,0.6231,-0.7595,16.68,0.075,0.033,0.081,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.12998.griz,359.3378,-0.7371,16.35,0.071,0.068,0.09,1.0,1,0,0,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.13092.griz,0.5523,0.0047,16.93,0.118,0.094,0.12,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.13351.griz,0.1638,-0.0134,15.97,0.081,0.077,0.083,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.13589.griz,0.3597,-0.0286,16.76,0.227,0.19,0.241,1.0,0,1,0,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.13791.griz,0.0326,-0.0405,14.73,0.07,0.068,0.071,1.0,0,0,1,S
STRIPE82-0001,SPLUS.STRIPE82-0001.13972.griz,0.5152,-0.5603,16.73,0.117,0.11,0.125,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.14080.griz,0.4538,-0.6015,16.97,0.09,0.084,0.113,1.0,1,0,0,Ec
